,num_spins,tf,fid,y0,t1,y1
0,50.0,1.01,0.9907528054951372,1.9999997903073874,0.7274192860506128,-1.9999983688155962
1,60.0,1.04,0.9905872159642594,1.9999992076532067,0.7576537095736205,-1.9999986102802931
2,70.0,1.06,0.9900594135285541,1.9999999792381353,0.7741439915390386,-1.999895530718976
3,80.0,1.09,0.9910230062853828,1.999999737991801,0.80216131817364,-1.9999976106441804
4,90.0,1.11,0.9911015364363889,1.9999999262830512,0.8211997519588004,-1.9998130633091777
5,100.0,1.12,0.9902350876546816,1.9999999137892566,0.8298266417476254,-1.9998597619075005
6,110.0,1.1400000000000001,0.9904482759846146,1.9999999999915805,0.8448676942237074,-1.9464767160435865
7,120.0,1.1600000000000001,0.9913297216400954,1.9999999900927135,0.8704865138720524,-1.9999274171917432
8,130.0,1.1700000000000002,0.9909612782244729,1.9999992836933902,0.880134190439578,-1.9997368503504578
9,140.0,1.1800000000000002,0.9908448865068125,1.9999999705534317,0.886780788943226,-1.9999742704094114
10,150.0,1.1900000000000002,0.9905999769960644,1.9999999571711908,0.8946986928553785,-1.9999920930250226
11,160.0,1.2000000000000002,0.990604369133233,1.999978482685345,0.9074220414417196,-1.9999977473043646
12,170.0,1.2200000000000002,0.9918372580663897,1.9999999322712432,0.9254187120413816,-1.9999999931686563
13,180.0,1.2200000000000002,0.9907265087516718,1.9999997124147462,0.9256554482308108,-1.9999982152304336
14,190.0,1.2300000000000002,0.9908706276848346,1.9999998587385497,0.9353776014163414,-1.999999207859861
15,200.0,1.2400000000000002,0.9910719423929215,1.9999999629515697,0.9453595871115026,-1.999996802386625
