,Omega,tf,fid,y0,t1,y1
0,20.0,0.9996905126433051,2.990000000000002,0.8672019931254246,0.46943980526827317,1.875800126615101
1,30.0,0.9991205510522875,2.6500000000000012,1.3445311085933425,0.1099371833945867,2.298048714716881
2,40.0,0.9968112648016612,2.990000000000002,2.171937220636381,0.6717686134385827,2.7310202423772068
3,50.0,0.9971471851542854,2.990000000000002,3.0371495980534795,2.366764459837156,3.168875478828413
4,60.0,0.997500339359619,2.990000000000002,3.3689920039113272,2.900443830172459,3.6902966964635637
5,70.0,0.996477970882646,2.990000000000002,3.68292433116838,2.5416134766871523,3.595708205353333
6,80.0,0.9965142524613754,2.990000000000002,4.0021385338905375,1.7679877985457484,3.878376114326868
7,90.0,0.9990648681385307,2.6400000000000015,4.327710295178091,2.181982186718604,3.285328423451979
8,100.0,0.999088903344963,2.5100000000000016,4.626162223485492,2.1474810458166926,2.6414572498950064
9,110.0,0.9990080888992903,2.450000000000001,5.115717461110443,1.5688730989161654,3.844077436645306
10,120.0,0.999000394160986,2.3500000000000014,5.442741680703405,1.592714210976932,3.65166725133991
11,130.0,0.9980741625750295,2.990000000000002,5.182800833810099,2.1410250724964337,4.809255978373547
12,140.0,0.9990463250054484,2.5500000000000016,5.704837601300179,1.9003562054805665,4.030556810290114
13,150.0,0.9980577101102136,2.990000000000002,5.533770811150224,2.9045731419094443,0.03302356282437458
14,160.0,0.9990950697835063,2.5100000000000016,6.130114482793027,1.9359593017659362,3.949321674544411
15,170.0,0.9990615836309694,2.4000000000000012,6.49510793427069,1.7854245756400131,3.855851313667676
16,180.0,0.9990418915622282,2.5400000000000014,6.765992857697057,1.553191668367256,5.0353840874650135
17,190.0,0.9990547563917157,2.7700000000000014,6.510135073696787,2.25525762184216,4.729180047243903
18,200.0,0.9980848676723019,2.990000000000002,6.654341633550475,2.1477495169320155,5.77059850356224
